date,a2c,ppo,ddpg,td3,sac,mvo,cap_bh,twii,0050
2024-05-02,1202569.510491923,1156730.8067085776,1209511.862507265,1057165.2913104028,1097014.4862269447,1016743.2493888652,1159787.8862716374,1132671.1974729586,1157524.0990470778
2024-05-03,1215123.7904555378,1166604.8513331336,1218878.822903058,1062799.8220826278,1108394.668105844,1013157.5991065202,1169860.6520474758,1138713.6703633305,1163454.4406923982
2024-05-06,1228258.115598783,1180957.0240751894,1234469.845946632,1083409.1787491702,1134417.257527118,1024768.385659362,1184902.5210505982,1149523.1713820782,1180133.462944442
2024-05-07,1243182.3400055186,1191640.0052761931,1248928.1486439556,1084042.9563019194,1136627.351939694,1023563.7811374728,1197009.6002208556,1156816.8031834157,1186805.1397123747
2024-05-08,1247301.0471887668,1194824.5311254952,1254197.643523502,1083403.715040679,1131613.4375083472,1014466.266762618,1200552.6789746752,1159448.207961274,1191252.811112471
2024-05-09,1238105.5531476228,1188756.885239357,1248541.5468401413,1078192.7284940586,1130533.0260743457,1014807.0572143496,1194654.106231265,1151621.2719987966,1189770.2539791055
2024-05-10,1249849.8583632282,1199632.233806523,1258051.5058214285,1084727.3862958767,1139038.8114515587,1021754.444173101,1205017.4544312172,1159914.780729943,1198295.0423298508
2024-05-13,1264349.9457749482,1210772.9737159454,1275165.9653841788,1086621.0787283413,1136975.187753276,1025885.0462874562,1217508.1510282657,1168253.141708488,1210526.3931817983
2024-05-14,1270558.4726581909,1218148.7037652934,1288158.264169959,1083805.1823880312,1134158.135727895,1032219.9269860128,1225759.9952275795,1175430.2670623146,1218680.5139712375
2024-05-15,1286809.5136869836,1229408.2772347173,1300159.2762062135,1087401.35522157,1140864.1669757424,1038913.137653084,1237914.2296082422,1184468.2137045497,1235359.536223281
2024-05-16,1291647.4575279336,1236319.9540568113,1306369.980002296,1094408.587379038,1149428.0659456877,1050585.8627855512,1244421.054505159,1193264.614585185,1241289.8778686016
2024-05-17,1286877.8863958796,1232532.4089542774,1299270.9145368324,1093349.788171647,1147815.657646338,1048063.0156816,1240060.4442346627,1190699.9411997977,1239807.320735236
2024-05-20,1288355.2676229842,1233991.40632918,1300202.6295550892,1095363.5193316056,1145980.3876120746,1049618.5289572738,1240881.5991166283,1191437.049597287,1239436.65317393
2024-05-21,1291197.105816042,1231428.416160738,1300894.1662344728,1087135.3384694469,1136205.7337149174,1041925.3972776536,1239401.1670843193,1189483.3513380466,1237954.0960405646
2024-05-22,1317302.8340338008,1252158.286880478,1325898.9166309054,1095367.0249936592,1148087.6913880797,1050026.049716893,1261972.3623246043,1207131.1791491748,1260192.7923766228
2024-05-23,1331942.094860294,1260452.3651165792,1339033.172495419,1095236.6649463584,1151707.5069505095,1056250.8457557252,1272178.2871345845,1210245.3472630556,1269829.5834112864
2024-05-24,1320486.6199488705,1253139.895994676,1331786.325324651,1090875.0116581449,1149582.4696468837,1052911.8300167774,1264913.8032724182,1207887.869381504,1264640.5768885778
2024-05-27,1329307.3185079328,1267551.23145219,1347101.498260463,1103434.0681181466,1170212.1322783984,1053819.2122062522,1279580.594007251,1221242.4619507992,1282060.8211513746
2024-05-28,1324187.0129476686,1266289.5416735276,1343424.343300864,1104010.1450744127,1173690.2956161725,1047525.8130394733,1277617.5990839803,1224302.9167635276,1283914.0458460462
2024-05-29,1311276.3101566231,1251687.746347587,1328563.8761099323,1087520.6465159738,1152628.1256548893,1042002.5688833032,1262628.637727528,1213329.8691353635,1266493.8015832491
2024-05-30,1288258.911575735,1233536.5487943578,1307864.6083993071,1080369.0368147576,1140413.7191614553,1039461.997633994,1242977.265686807,1196637.6129852724,1244625.6596966386
2024-05-31,1269453.565608838,1219435.484539757,1286272.562572585,1084374.785800164,1132239.3334944274,1030563.1983082908,1226034.1391804707,1185981.047190581,1230541.1972618788
2024-06-03,1299578.831523451,1243507.1329058777,1315991.9009064254,1092134.530880086,1148122.6716546894,1048175.8546014982,1252601.315736609,1206287.0817322813,1256857.0105485856
2024-06-04,1288269.5300227336,1231124.049421475,1301027.6878147323,1081042.099993762,1135738.183415365,1040807.1688179268,1239613.123573322,1196197.2951906906,1236842.206468505
2024-06-05,1301317.6582804238,1241314.983378218,1314123.1452716128,1083851.1086881815,1143582.3936037098,1041452.920195992,1251685.7007927916,1203381.3124752152,1248702.7766472877
2024-06-06,1344390.04772926,1272859.2282379356,1356153.6834564416,1089318.4330062782,1149462.4678744143,1050306.27343171,1287456.8218937446,1226783.574231837,1291326.9446247322
2024-06-07,1333408.5552794193,1265057.091121108,1341947.869386496,1095997.1867088196,1154414.9961109776,1054547.9763510355,1277303.7164644655,1224301.275827647,1281319.5991406215
2024-06-11,1333191.618031904,1263895.2732564968,1342694.9212871245,1094884.7252068568,1153341.743703209,1046520.3445945235,1277630.886902112,1220589.9164490148,1284655.3809686583
2024-06-12,1360729.355800497,1283110.9295278413,1369168.5396568335,1099830.9523795012,1162035.495957148,1052591.917365505,1300093.2628760373,1234975.782521298,1307635.2993154696
2024-06-13,1379569.417568966,1302074.9943806208,1392359.7446566082,1111458.101601756,1174667.2033206106,1065749.011820541,1320745.8606764933,1249710.949144662,1326538.2138234908
2024-06-14,1387940.4967089552,1311568.8688614636,1402849.3331801756,1123002.4790709617,1187811.6378771102,1080096.5926398784,1330316.075735266,1260503.1656388026,1334321.7801634828
2024-06-17,1387536.3647733151,1310080.4189762336,1400195.3151876798,1125135.3131856157,1188439.029391439,1073801.4147802144,1328684.8791022582,1260044.3599666343,1334321.7801634828
2024-06-18,1412287.73590267,1328826.0975517128,1422156.184913703,1129991.299636456,1194216.9617599817,1080049.8713069498,1349258.5718035745,1274657.5503562198,1356560.476499541
2024-06-19,1454327.744579055,1362981.260294754,1467859.399345794,1133863.4207379804,1210757.934230222,1101327.8107866086,1388904.4939917242,1299980.472863023,1393254.302831665
2024-06-20,1456658.7836385325,1373254.54126263,1477670.080917708,1151313.1217180854,1232831.6604728592,1107528.3666472938,1399827.5728142308,1310989.9492677324,1406597.5432556714
2024-06-21,1444567.684263574,1363513.1397617154,1462302.215045204,1147116.5608617172,1229989.341456846,1093543.3922798086,1387867.6394428734,1302436.625688851,1398072.754904926
2024-06-24,1412705.3421271984,1336572.8781440677,1425409.064460367,1140464.8513210744,1218852.0750961995,1080097.2312813697,1356401.6065220211,1277809.2412039,1363973.3752782268
2024-06-25,1416685.352853649,1339668.9205389663,1428531.654897738,1144390.1484300725,1224336.9535380937,1075476.9268348615,1360574.8831427342,1281297.1051156176,1363232.0401556147
2024-06-26,1429814.1120408832,1345160.5516867505,1440331.2470462709,1135438.8129548384,1216460.3297144496,1070126.362465473,1368840.8566559902,1287498.5299949404,1373980.8338741965
2024-06-27,1428217.4077480962,1342451.5937977033,1439047.3933562874,1131826.2588210714,1212778.830830445,1061184.0642485332,1366789.66208493,1282977.9704358054,1373610.1663128906
2024-06-28,1434195.6284609244,1348782.9999914365,1446229.820736331,1135082.4120174656,1219157.8072328118,1069137.412831515,1373751.9164732916,1290050.4040804603,1382134.954663636
2024-07-01,1438521.7473339462,1353039.3495608666,1450100.2453957784,1138720.929843357,1226723.7731416875,1065276.7418375353,1378318.4681611666,1291524.6208754394,1383246.9573475542
2024-07-02,1428209.271945416,1343022.115427396,1438584.2458703343,1130998.856639441,1218204.307796591,1068292.2905318923,1367549.8386656332,1281487.4536777476,1373980.8338741965
2024-07-03,1451503.6931638406,1362112.2842786436,1458549.9777654067,1143312.494869321,1230950.08770208,1070849.124707232,1387273.461754447,1297901.9540811442,1390659.85612624
2024-07-04,1484322.561022318,1386810.2625343346,1488517.6275023038,1159118.7767244207,1249374.3246216497,1088363.9001996447,1415119.3981578313,1317511.2472480135,1426983.014897058
2024-07-05,1485539.6543452952,1386868.0550405572,1487503.2161422982,1161652.2447411208,1252781.5803045654,1088937.205914074,1415232.1833731467,1319418.999302602,1421794.0083743497
2024-07-08,1518141.3126719373,1415076.1732168186,1522141.912019287,1172022.3064205162,1270266.4680073354,1088257.0879769337,1448501.7456422714,1337429.8021304817,1466642.0686077718
2024-07-09,1521836.1088783708,1419542.7339336164,1529268.903406857,1166519.489709342,1261136.8122964909,1079292.826495124,1454501.4019773903,1338658.0973348466,1465159.3983625474
2024-07-10,1526072.4229322604,1423718.4128629994,1531111.349050977,1166864.6106576552,1263134.1168569038,1072850.6534885997,1459221.1811716598,1344651.23275308,1470348.5179971147
