symbol,window,val_reward,source_folder,source_ckpt,dest,notes
3045,65,,,,trained_models/3045_all_65.data,MISSING legacy checkpoint
3045,75,15.0040,3045_75_val20240101_20260331_okohlcv_2h_novol_fpsfix2,best_val-15.004.data,trained_models/3045_all_75.data,
1590,55,,,,trained_models/1590_all_55.data,MISSING legacy checkpoint
1590,60,,,,trained_models/1590_all_60.data,MISSING legacy checkpoint
1590,65,,,,trained_models/1590_all_65.data,MISSING legacy checkpoint
1590,75,,,,trained_models/1590_all_75.data,MISSING legacy checkpoint
3037,55,,,,trained_models/3037_all_55.data,MISSING legacy checkpoint
3037,60,,,,trained_models/3037_all_60.data,MISSING legacy checkpoint
3037,65,,,,trained_models/3037_all_65.data,MISSING legacy checkpoint
3037,75,,,,trained_models/3037_all_75.data,MISSING legacy checkpoint
5876,55,,,,trained_models/5876_all_55.data,MISSING legacy checkpoint
5876,60,,,,trained_models/5876_all_60.data,MISSING legacy checkpoint
5876,65,,,,trained_models/5876_all_65.data,MISSING legacy checkpoint
5876,75,,,,trained_models/5876_all_75.data,MISSING legacy checkpoint
2912,55,,,,trained_models/2912_all_55.data,MISSING legacy checkpoint
2912,60,,,,trained_models/2912_all_60.data,MISSING legacy checkpoint
2912,65,,,,trained_models/2912_all_65.data,MISSING legacy checkpoint
2912,75,,,,trained_models/2912_all_75.data,MISSING legacy checkpoint
2395,55,,,,trained_models/2395_all_55.data,MISSING legacy checkpoint
2395,60,,,,trained_models/2395_all_60.data,MISSING legacy checkpoint
2395,65,,,,trained_models/2395_all_65.data,MISSING legacy checkpoint
2395,75,,,,trained_models/2395_all_75.data,MISSING legacy checkpoint
2801,55,,,,trained_models/2801_all_55.data,MISSING legacy checkpoint
2801,60,23.2550,2801_60_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-23.255.data,trained_models/2801_all_60.data,
2801,65,18.8920,2801_65_val20240101_20260331_okohlcv_3h_novol_fpsfix2,best_val-18.892.data,trained_models/2801_all_65.data,
2801,75,32.3860,2801_75_val20240101_20260331_okohlcv_3h_novol_fpsfix2,best_val-32.386.data,trained_models/2801_all_75.data,
4904,55,,,,trained_models/4904_all_55.data,MISSING legacy checkpoint
4904,60,,,,trained_models/4904_all_60.data,MISSING legacy checkpoint
4904,65,,,,trained_models/4904_all_65.data,MISSING legacy checkpoint
4904,75,,,,trained_models/4904_all_75.data,MISSING legacy checkpoint
6505,55,,,,trained_models/6505_all_55.data,MISSING legacy checkpoint
6505,60,26.3640,6505_60_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-26.364.data,trained_models/6505_all_60.data,
6505,65,42.7760,6505_65_val20240101_20260331_okohlcv_2h_novol_fpsfix2,best_val-42.776.data,trained_models/6505_all_65.data,
6505,75,55.5500,6505_75_val20240101_20260331_okohlcv_3h_novol,best_val-55.550.data,trained_models/6505_all_75.data,
4938,55,,,,trained_models/4938_all_55.data,MISSING legacy checkpoint
4938,60,,,,trained_models/4938_all_60.data,MISSING legacy checkpoint
4938,65,,,,trained_models/4938_all_65.data,MISSING legacy checkpoint
4938,75,,,,trained_models/4938_all_75.data,MISSING legacy checkpoint
2301,55,,,,trained_models/2301_all_55.data,MISSING legacy checkpoint
2301,60,,,,trained_models/2301_all_60.data,MISSING legacy checkpoint
2301,65,,,,trained_models/2301_all_65.data,MISSING legacy checkpoint
2301,75,,,,trained_models/2301_all_75.data,MISSING legacy checkpoint
2345,55,,,,trained_models/2345_all_55.data,MISSING legacy checkpoint
2345,60,116.2000,2345_60_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-116.200.data,trained_models/2345_all_60.data,
2345,65,136.1210,2345_65_val20240101_20260331_okohlcv_2p5h_novol_fpsfix2,best_val-136.121.data,trained_models/2345_all_65.data,
2345,75,,,,trained_models/2345_all_75.data,MISSING legacy checkpoint
3231,55,,,,trained_models/3231_all_55.data,MISSING legacy checkpoint
3231,60,62.0680,3231_60_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-62.068.data,trained_models/3231_all_60.data,
3231,65,44.9840,3231_65_val20240101_20260331_okohlcv_2h_novol_fpsfix2,best_val-44.984.data,trained_models/3231_all_65.data,
