symbol,window,test_start,test_end,n_rows,model_pct,bh_pct,excess_pct,n_buy,n_close,n_skip,model_file
TRV,65,2024-01-02,2026-03-30,562,44.9142,58.9047,-13.9905,174,166,211,TRV_all_65.data
TRV,75,2024-01-02,2026-03-30,562,86.5182,58.9047,27.6135,165,268,118,TRV_all_75.data
UNH,60,2024-01-02,2026-03-30,562,45.6076,-48.3265,93.9341,244,275,32,UNH_all_60.data
UNH,65,2024-01-02,2026-03-30,562,91.5949,-48.3265,139.9214,80,136,335,UNH_all_65.data
UNH,75,2024-01-02,2026-03-30,562,103.0542,-48.3265,151.3807,98,60,393,UNH_all_75.data
V,60,2024-01-02,2026-03-30,562,6.9388,16.8899,-9.9511,252,9,290,V_all_60.data
V,65,2024-01-02,2026-03-30,562,49.3286,16.8899,32.4387,310,86,155,V_all_65.data
V,75,2024-01-02,2026-03-30,562,41.5908,16.8899,24.7009,283,131,137,V_all_75.data
VZ,60,2024-01-02,2026-03-30,562,57.3199,54.1865,3.1334,12,58,481,VZ_all_60.data
VZ,65,2024-01-02,2026-03-30,562,61.6516,54.1865,7.465,255,149,147,VZ_all_65.data
VZ,75,2024-01-02,2026-03-30,562,74.278,54.1865,20.0915,272,94,185,VZ_all_75.data
WMT,60,2024-01-02,2026-03-30,562,72.2231,140.7725,-68.5494,208,117,226,WMT_all_60.data
WMT,65,2024-01-02,2026-03-30,562,82.1326,140.7725,-58.6399,187,201,163,WMT_all_65.data
WMT,75,2024-01-02,2026-03-30,562,99.7971,140.7725,-40.9754,349,143,59,WMT_all_75.data
