date,dqn_dow30_w55_equal,bh_dow30_w55_equal,dqn_dow30_w55_price,bh_dow30_w55_price,dqn_dow30_w60_equal,bh_dow30_w60_equal,dqn_dow30_w60_price,bh_dow30_w60_price,dqn_dow30_w65_equal,bh_dow30_w65_equal,dqn_dow30_w65_price,bh_dow30_w65_price,dqn_dow30_w75_equal,bh_dow30_w75_equal,dqn_dow30_w75_price,bh_dow30_w75_price
2025-03-12 00:00:00,,,,,1.1978116153804457,1.2224436629422288,1.1537577326737254,1.1702140368573761,1.2764285785642095,1.2224436629422288,1.262516868702585,1.1702140368573761,1.5312135987041935,1.2224436629422288,1.494341843949452,1.1702140368573761
2025-03-13 00:00:00,,,,,1.189034635356356,1.2105091899436906,1.1444802300790686,1.156032672597191,1.2720220922519263,1.2105091899436906,1.2595868799761747,1.156032672597191,1.5273018595256578,1.2105091899436906,1.4876712098555784,1.156032672597191
2025-03-14 00:00:00,,,,,1.201324181370207,1.2283368763198332,1.1583702917561534,1.1740616036284648,1.28453786854734,1.2283368763198332,1.2714369699431072,1.1740616036284648,1.537055390312391,1.2283368763198332,1.4998797861125615,1.1740616036284648
2025-03-17 00:00:00,,,,,1.2083007074049783,1.238365661962393,1.1661035120704168,1.1842622357591628,1.2903825962308275,1.238365661962393,1.2787700140822826,1.1842622357591628,1.5427773830807157,1.238365661962393,1.5073757849244762,1.1842622357591628
2025-03-18 00:00:00,,,,,1.2031446315624972,1.2301546980741536,1.1624775448030988,1.177751035197007,1.2875334480115361,1.2301546980741536,1.2762931248943299,1.177751035197007,1.5432058907119632,1.2301546980741536,1.5076574464225834,1.177751035197007
2025-03-19 00:00:00,,,,,1.2128441459319161,1.2415994246088107,1.1724897467757525,1.18916566733538,1.2939225288357072,1.2415994246088107,1.283310123913991,1.18916566733538,1.5485576484887833,1.2415994246088107,1.5138799310609437,1.18916566733538
2025-03-20 00:00:00,,,,,1.2112053370355529,1.2392199326840956,1.173077045931569,1.1894328110378058,1.2929758382535221,1.2392199326840956,1.284257168317295,1.1894328110378058,1.5501304742003608,1.2392199326840956,1.5175443221265275,1.1894328110378058
2025-03-21 00:00:00,,,,,1.209944665140351,1.23775220405456,1.174654860605204,1.1908222670399986,1.29406193446426,1.23775220405456,1.2866426957711752,1.1908222670399986,1.549310935838668,1.23775220405456,1.5174634958335744,1.1908222670399986
2025-03-24 00:00:00,,,,,1.2211713751205582,1.2525637743212856,1.185801699661814,1.2064789876998612,1.3014736711558663,1.2525637743212856,1.2937687222132441,1.2064789876998612,1.5562702799422217,1.2525637743212856,1.5262014766477692,1.2064789876998612
2025-03-25 00:00:00,,,,,1.2206383697736398,1.2501228270956197,1.186717772458929,1.206024537862003,1.3000580037455827,1.2501228270956197,1.2937012558000163,1.206024537862003,1.554413701903349,1.2501228270956197,1.5247910470596204,1.206024537862003
2025-03-26 00:00:00,,,,,1.2222037538379478,1.2474715731859396,1.1881061062381764,1.2029934784717915,1.3020788813573743,1.2474715731859396,1.2951092411864311,1.2029934784717915,1.5556790493627606,1.2474715731859396,1.5259384405116907,1.2029934784717915
2025-03-27 00:00:00,,,,,1.222039943763637,1.2447902086550855,1.1884032918550116,1.1999035136110159,1.303449289014055,1.2447902086550855,1.2957791148430335,1.1999035136110159,1.5567509341054153,1.2447902086550855,1.525496453336341,1.1999035136110159
2025-03-28 00:00:00,,,,,1.2076748216323658,1.2255811588785868,1.1727080698024768,1.179611204654461,1.298129459988694,1.2255811588785868,1.2907418610115375,1.179611204654461,1.5556803671805965,1.2255811588785868,1.524217735923685,1.179611204654461
2025-03-31 00:00:00,,,,,1.2162392827467432,1.2372717743424497,1.1801424157265143,1.190678530311517,1.3039052660944896,1.2372717743424497,1.2937642384718784,1.190678530311517,1.559926806855767,1.2372717743424497,1.5272209681227227,1.190678530311517
2025-04-01 00:00:00,,,,,1.2128730696615209,1.2362439787474198,1.1775822557211733,1.1898619225966736,1.300810189028662,1.2362439787474198,1.290679812797322,1.1898619225966736,1.556128573884912,1.2362439787474198,1.5239360279833192,1.1898619225966736
2025-04-02 00:00:00,,,,,1.2156976460320483,1.24061466252755,1.1822540756291093,1.195976259475495,1.3028946299579418,1.24061466252755,1.293360122367331,1.195976259475495,1.5569933663754856,1.24061466252755,1.524551810956293,1.195976259475495
