date,a2c,ppo,ddpg,td3,sac,mvo,twii,0050
2024-02-21,1035842.1161591745,1031212.4752061731,953896.0350256525,976604.267871677,990512.5990059995,1010201.4402193814,1046071.572153318,1046701.2849280937
2024-02-22,1022856.8831912593,1031959.6569191504,964551.6945944391,993966.5724151721,987517.9965106029,1010612.5332448804,1055955.6947312283,1058561.9682187347
2024-02-23,1016492.9762863363,1030129.0292248919,963042.646788653,1002302.7872150531,994843.7569918727,1002204.8727612224,1057995.0498434275,1065604.1994361146
2024-02-26,1003137.7377853597,1028513.2223281024,976550.2120848261,1017411.5506017795,991388.4597212761,1005345.7884923659,1061291.9088186629,1067086.75656948
2024-02-27,975455.328619274,1015067.4996546599,971532.6300955378,1022267.4756515613,978504.8114861401,994724.6556834001,1056047.0401619058,1062639.0851693838
2024-02-29,1004726.0081356175,1022438.0107573052,970971.4410658441,1020844.6106460681,994320.932399789,1005047.941779796,1062340.3574505325,1062268.4176080779
2024-03-01,984170.9953707891,1014941.0206839432,964618.5049715601,1012976.3191927066,982916.0044066708,1002275.705019309,1060612.998947066,1058561.9682187347
2024-03-04,989933.6767853933,1033203.8392166027,965868.0253191553,1019251.4454811206,988453.7214144759,1003017.4395354562,1081302.2467147096,1089325.4529055383
2024-03-05,995361.9472054676,1036442.2974563139,965351.1606951319,1019390.0961845508,991282.6834619772,1005498.2884172174,1085873.2377032368,1098220.9088175895
2024-03-06,999215.9797820286,1038232.449271048,970952.4997892939,1028600.5821436038,997997.5647766163,1008382.2952453755,1092176.0724199703,1103410.0284521568
2024-03-07,992095.5694140629,1044910.7335993736,962342.1027727686,1031216.5831668964,998052.9856840579,1000470.5233485738,1103046.0692748432,1128984.506616252
2024-03-08,981320.7170151905,1049052.1051460234,952825.6740103327,1023399.1412952533,987648.5645440349,1000130.927237183,1108187.8871583093,1144922.1937456832
2024-03-11,979930.2315978245,1042911.4501360995,958912.3428221308,1026061.440080463,990042.0415140857,1004966.3856211908,1104869.8054123535,1133432.1780163483
2024-03-12,965519.7598904804,1042695.852257576,960837.2632284723,1029861.6613147845,985398.6277776523,1006327.5841639474,1115426.1647226133,1145292.8613069896
2024-03-13,953770.5691250996,1041298.9719630197,953172.5873671137,1023083.4931858173,982659.3860397602,999652.7531495348,1116208.015971776,1150852.535391004
2024-03-14,951587.1741055683,1044572.8591467232,956420.8312311731,1019082.4591367831,984222.7426595299,1004760.9201016471,1116735.0845765702,1149740.6458189446
2024-03-15,927867.5979823307,1015374.3510496761,951254.4416933618,1011832.6944616428,977916.2176562638,999579.0884921474,1102428.8585923505,1134173.5131389603
2024-03-18,923761.806317757,1010881.3405069059,947045.14168511,1007355.4008185621,973588.964956399,1001319.8743254675,1113482.530870106,1144551.5261843773
2024-03-19,923761.806317757,1010881.3405069059,947045.14168511,1007355.4008185621,973588.964956399,992303.4766993062,1112213.8686430827,1141957.0794789523
2024-03-20,921962.8606588294,1010725.537627456,954276.0649428925,1013417.2218055578,980503.387125034,990497.9086994005,1108139.096664798,1135656.070272326
2024-03-21,929572.1156223373,1011825.7054260839,956571.745359773,1013525.276332683,976518.3769831627,1003961.4014929674,1131363.3715762557,1166790.2225204355
2024-03-22,941375.3943532186,1012381.0532667221,954453.4948510716,1005470.3004415698,969277.0009647981,1007849.4424755484,1133006.714162644,1165307.66538707
2024-03-25,934586.8215218628,1012004.3449850371,955423.2563409398,1005393.4848888583,971481.3153595725,1005910.7540321099,1130980.2677460378,1167531.5576430473
2024-03-26,917562.4559542541,1011346.6803790858,946595.39075752,999832.6331213183,963737.1567242801,1000081.9682841713,1127297.0230688236,1168272.8927656596
2024-03-27,913004.297637168,1010983.649862892,947340.2193460057,1007394.6568372912,963073.2863900271,1004562.0383615397,1131421.0231235216,1168643.4472151068
2024-03-28,910710.4672090921,1010242.9499715255,950493.6519498418,1002648.832007236,961687.3925592446,1003758.1938851817,1128420.626564017,1163083.7731310923
2024-03-29,915978.4827402361,1011789.1683109677,955247.5782022069,1009903.5401371188,966428.0414848395,1013368.3919646344,1136704.5084713313,1169755.449899025
2024-04-01,909218.421701072,1010955.4348552349,960896.330424268,1012157.1390150256,969876.5161467708,1017043.4898561769,1132665.0713123386,1166790.2225204355
2024-04-02,906702.3772267057,1011954.2542836992,963827.4570340703,1016660.0694349475,970015.7544358107,1018666.5163946702,1146345.1161645858,1183469.244772479
2024-04-03,906764.4690951811,1010797.6047801083,960866.0236043523,1013595.0102327532,967285.4442340893,1015838.8054506425,1139121.3882317548,1175315.1239830395
2024-04-08,914711.7599955307,1013336.129759042,943075.0742730687,996912.0159033007,956045.6380549029,1020362.2130294095,1143607.8163245772,1181986.6876391135
2024-04-09,915469.5600801485,1017905.3836120318,944098.2580632756,1004598.6934488482,957673.351696565,1022124.5098624693,1164807.832733936,1210155.725620492
2024-04-10,923634.2745821107,1018988.1631796409,944777.6079282353,1009029.8301485247,961992.3404272811,1025004.8597413134,1162977.9704358052,1208302.5009258206
2024-04-11,913928.4802921042,1019855.4112599103,932758.1510381291,1002302.6046360201,952488.2770803013,1021504.3281304871,1162400.5797973445,1204596.0515364776
2024-04-12,893814.3736615883,1016346.0761511559,933330.2845754216,1006150.9530809588,948334.6331265873,1017252.2737510337,1161467.981238633,1201630.9372697468
2024-04-15,858674.0524003127,1007936.006601726,914014.5835256169,985900.9319742388,931773.1853124651,1004141.8192423538,1145404.0941350216,1186063.8045897624
2024-04-16,827879.86412406,996964.0614874784,884392.3695478032,955976.4602430529,905772.8998427604,978739.2917300821,1114720.99987693,1153817.649657735
2024-04-17,824016.629817809,998805.0021325938,879854.2353162358,959452.0887172885,903688.1552150203,980562.103482283,1132160.9758098703,1166790.2225204355
2024-04-18,830567.4705237099,999491.5577058473,881006.4231118748,959775.3238437838,907824.7148153416,986626.1652902118,1137082.5800981827,1178280.2382497704
2024-04-19,813505.432355835,982414.1162549718,857387.1317452977,925635.9701336093,889012.8850214116,965362.9144806645,1093725.8816611741,1118606.3804589764
2024-04-22,799738.7406499304,980849.8678754689,855196.151108701,919434.016429729,895191.596872068,973259.3357841703,1087234.3393181912,1115270.5986309391
2024-04-23,821573.3591393786,988735.9473707017,863920.0511083195,925874.4156759448,902899.1414424944,978331.6740201178,1097767.6161303998,1126019.2792376622
2024-04-24,836490.4178263559,1002265.3509915683,886034.7110204289,950970.7878225512,911371.4045246667,988437.4423943723,1127591.0787785968,1159006.769292302
2024-04-25,823728.2998124906,992343.396056422,880534.3592080662,940978.3552149005,902409.8698059001,976993.721828185,1112226.2303600488,1137879.9625283033
2024-04-26,861202.3603989747,1007151.0555394671,888358.558070142,946731.4336536593,912439.5621963226,990441.6597335242,1126962.053357765,1156412.2094750185
2024-04-29,891515.6796268411,1021226.857143984,902448.4768724034,961820.5517061419,928478.721043853,1006476.3164508333,1147966.579605902,1177168.348677711
2024-04-30,887570.753241021,1018253.1510351867,898455.1532003102,957564.534199184,924370.2330328187,1004466.9768074413,1142426.014303491,1173091.231727062
2024-05-02,886246.3303568069,1018058.31949781,894821.6645857224,949858.5576107849,921739.8657415631,1000976.3808550038,1132671.1974729586,1157524.0990470778
2024-05-03,883555.4597600874,1017668.5359103865,901180.623549462,966386.5701876248,927200.6474467795,1004205.3356341663,1138713.6703633305,1163454.4406923982
2024-05-06,887962.1052510075,1018604.7536198737,915126.6201234015,974844.2908478344,937287.8505742913,1011444.1465092492,1149523.1713820782,1180133.462944442
2024-05-07,888713.2743652628,1018342.5419266981,919323.5614361914,984133.7011757458,943893.9159367429,1010238.4761060447,1156816.8031834157,1186805.1397123747
2024-05-08,886889.6169631735,1018373.0884868945,911374.4833264502,976398.7325478161,936655.7765820118,1010872.4752920832,1159448.207961274,1191252.811112471
2024-05-09,887826.1467152815,1017841.6265372881,905612.0973858985,969051.1296978558,926896.8470880173,1001196.8153136366,1151621.2719987966,1189770.2539791055
2024-05-10,895909.7686096773,1020744.9307620369,916100.0791497382,972945.880142268,934581.3655620401,1007353.0558977523,1159914.780729943,1198295.0423298508
2024-05-13,891945.4007064694,1020036.1159176414,912046.3541124387,968640.6162716299,930738.4186830056,1007722.8140251314,1168253.1417084879,1210526.3931817983
2024-05-14,894222.6906126448,1020258.9811067071,924469.0575277087,982429.0301627165,935730.8430674851,1009771.577004233,1175430.2670623146,1218680.5139712375
2024-05-15,893592.3522004425,1020284.5006145361,913708.133743143,975358.591568917,929618.3544997245,1013687.659743187,1184468.2137045495,1235359.536223281
2024-05-16,906385.8998567866,1021636.916613665,930796.0109089095,993580.9747781456,947556.5067641758,1022141.4188794045,1193264.614585185,1241289.8778686016
2024-05-17,901671.5181270011,1021422.2338781515,934667.6152942855,991353.575654,949426.1911491115,1023283.0934976604,1190699.9411997977,1239807.320735236
2024-05-20,902613.8307186263,1021714.0277193767,932319.2804630477,993382.8531503379,948496.0320483921,1023855.8836940655,1191437.049597287,1239436.65317393
2024-05-21,898841.7509459954,1021187.2695846232,928193.8362357765,988987.1705870382,944590.3333845226,1017544.8715231789,1189483.3513380466,1237954.0960405646
2024-05-22,901036.5850079892,1021476.6597308484,934235.4451410538,998429.8472333138,945878.2524416108,1028800.7260761593,1207131.1791491748,1260192.7923766228
2024-05-23,901801.2298951508,1021752.4225197011,927227.4900598885,997158.6232651959,939062.7354253582,1028779.7094829638,1210245.3472630556,1269829.5834112864
2024-05-24,899539.0282640543,1021672.153247081,925450.6689940515,988726.7672318707,932165.7740494332,1024186.5578916492,1207887.869381504,1264640.5768885778
2024-05-27,908794.6394882516,1021872.3977101237,938343.3720599237,1005036.0378846417,941313.3686724175,1023825.5700617019,1221242.4619507992,1282060.8211513746
2024-05-28,905712.2788970912,1021443.2131025967,934191.2032577229,1000588.7798757019,937148.1020576273,1021769.9300414182,1224302.9167635276,1283914.0458460462
2024-05-29,908539.8364303901,1021516.0784307234,940379.7441677952,1001862.6438328137,943765.5437561437,1018251.9560830395,1213329.8691353635,1266493.8015832491
2024-05-30,906930.8327128883,1021086.0314026233,928544.729068156,992057.1884015861,936928.0766429501,1013970.6235345091,1196637.6129852724,1244625.6596966386
2024-05-31,891303.805611056,1019939.7051573668,929013.0468355183,986040.6313909355,941837.4320778782,1017581.9645577184,1185981.047190581,1230541.1972618788
2024-06-03,906704.947020304,1021962.4327698193,941100.7764535908,997420.22836054,952024.3564677929,1027527.4914775267,1206287.0817322813,1256857.0105485856
2024-06-04,900924.7195550569,1021916.1588246605,937461.7177530293,988337.3405050102,948334.9339077943,1027164.1434018905,1196197.2951906906,1236842.206468505
2024-06-05,895920.8558318607,1022404.508768176,946281.9493509297,995725.5300000969,949274.9794962312,1029624.578476349,1203381.3124752152,1248702.7766472877
2024-06-06,911453.8078595423,1026548.6800059052,962336.7456689839,1015702.8001188103,960208.9899493081,1037379.0218346324,1226783.574231837,1291326.9446247322
2024-06-07,900823.0169352082,1024820.7344469645,956415.7070451741,1010901.8422941032,955101.6962197543,1042376.3515399451,1224301.275827647,1281319.5991406215
2024-06-11,892790.8655216971,1022818.722196471,922709.1854463582,984244.7125486198,935067.3282546867,1032837.7362422463,1220589.9164490148,1284655.3809686583
2024-06-12,899539.0268464384,1025347.4644444985,951032.6442361836,1012648.1800626579,948806.2581569243,1038719.7844653234,1234975.782521298,1307635.2993154696
2024-06-13,913484.5670140202,1027574.8827441548,961049.002043343,1030399.5624250236,961010.1197090263,1044668.930038092,1249710.9491446621,1326538.2138234908
2024-06-14,930198.3036011161,1031297.1065193771,995154.7579217915,1055954.5099233452,976779.3203961004,1059108.014850248,1260503.1656388026,1334321.7801634828
2024-06-17,915399.9341549196,1029441.4024681768,1009269.7541681294,1068447.6557592216,976685.4201468324,1058518.105111953,1260044.3599666343,1334321.7801634828
2024-06-18,919394.1564271896,1033480.1128205449,1020943.9101930623,1080507.5205243889,984800.3590407105,1065813.3994982338,1274657.5503562198,1356560.476499541
2024-06-19,936300.0551231353,1040055.1625281316,1026104.4783693318,1091479.8337377373,997646.7364897393,1073818.8895438826,1299980.472863023,1393254.302831665
2024-06-20,940164.8168381001,1041249.0480773455,1037976.560461617,1099217.7572454277,1003937.0064437895,1078710.0422438653,1310989.9492677324,1406597.5432556714
2024-06-21,950650.7789296522,1039572.940983808,1027593.1654420857,1089115.2990964714,1002655.8208309729,1079699.574834419,1302436.625688851,1398072.754904926
2024-06-24,926764.1731254535,1030462.0837194888,1021410.867819405,1076703.4528421226,994990.1786635811,1075028.5885258336,1277809.2412039,1363973.3752782268
2024-06-25,926012.2493853471,1029758.5383144962,1044385.4614625935,1089155.4899991814,1001077.2288903453,1077383.0096166562,1281297.1051156176,1363232.0401556147
2024-06-26,927267.7321542263,1031740.2717763907,1043988.4770303731,1092326.7628949943,1000041.9363913707,1071418.5993551272,1287498.5299949404,1373980.8338741965
2024-06-27,928629.9112078823,1031642.6128061321,1037795.7588869099,1085563.6354154411,994046.4861211589,1067301.8294434785,1282977.9704358054,1373610.1663128906
2024-06-28,950761.1844440667,1037352.0328255009,1049068.4256502157,1092638.1025079552,997180.64647634,1070944.6795893125,1290050.4040804605,1382134.954663636
2024-07-01,945561.7236676555,1035501.5555538051,1036706.6618524556,1086767.8161500755,1001167.9115662796,1065862.7456256687,1291524.6208754394,1383246.9573475542
2024-07-02,943230.1330138401,1032783.092869956,1028520.8702569966,1080253.8511422935,995153.0454279237,1064500.1820035232,1281487.4536777476,1373980.8338741965
2024-07-03,935349.3039503786,1037871.3178864662,1028630.4742876057,1083361.9531472984,995941.3434105645,1069605.1446505347,1297901.9540811442,1390659.85612624
2024-07-04,931210.4057954242,1034800.3141057243,1024078.7897717024,1078568.133299203,991534.3195959476,1081952.130623892,1317511.2472480137,1426983.014897058
2024-07-05,930222.6932300179,1034641.3743233538,1027875.7953877903,1080533.020110941,995251.17410512,1091000.9119866923,1319418.9993026021,1421794.0083743497
2024-07-08,933261.4326903945,1034886.4653806975,1054496.327077743,1105115.5864598318,1017413.5220625985,1081538.671747162,1337429.8021304817,1466642.0686077718
2024-07-09,931630.272143888,1034655.8695773775,1049830.213092973,1100225.4558952092,1014216.9988970823,1079709.8082581866,1338658.0973348466,1465159.3983625474
2024-07-10,932874.992518762,1034748.04799822,1052991.1491510128,1098283.2245165922,1013441.6162447245,1083172.3602391644,1344651.23275308,1470348.5179971147
2024-07-11,938156.0836723506,1035586.5635352295,1070712.8177863916,1116020.5340971,1029982.956419582,1089834.425831406,1366100.4526248137,1502965.2273785896
2024-07-12,930223.0566910438,1034294.2657549435,1040731.708116898,1085692.5454343802,995383.7441013468,1081573.2654128836,1339601.854257545,1455522.7204397428
2024-07-15,914702.4242947537,1032975.3611749212,1042636.7863181919,1089254.0649236685,996860.2592012302,1076638.8922292273,1337497.518084481,1458117.1671451675
2024-07-16,912717.1532975739,1033853.4609240447,1046964.1606868595,1092219.9634756094,997806.9229219131,1088738.745957219,1344100.644067333,1459229.1698290857
2024-07-17,899911.8497705957,1031968.2731709457,1027509.8805927128,1076722.948991204,981933.3169954801,1075650.833017888,1331362.1682232765,1438843.698187699
2024-07-18,877016.4709273472,1028777.150353266,1010570.858557114,1065122.4963964468,966036.6426753699,1073461.590969203,1310562.6495644683,1412898.5524622982
2024-07-19,883186.004128563,1026445.9026725715,988369.1252883762,1038228.3648313528,959005.9071326272,1062808.5683090948,1280921.2214032738,1380652.3975302705
2024-07-22,854565.3535646332,1022073.5664014516,965842.673836121,1014997.4188436514,941506.1934045404,1050826.7353495413,1246627.6306253332,1339510.7866861913
2024-07-23,869032.6053741125,1027125.1185601368,976247.215973267,1033943.9231695181,957533.7208541954,1064042.932745555,1281065.7331564769,1381023.0650915764
2024-07-26,862688.4999023863,1020918.7432794573,953882.8665012211,1010300.8276762015,939753.9353431549,1049336.3986395474,1238910.5279711194,1326908.881384797
