date,a2c,ppo,ddpg,td3,sac,mvo,cap_bh,twii,0050,a2c_D,ppo_D,ddpg_D,td3_D,sac_D
2024-07-04,1239663.7431685207,1388174.7397224742,1442448.2295395336,1553665.025217779,1433777.0211211205,1088363.9001996447,1415119.3981578313,1317511.2472480137,1426983.014897058,1229838.904276083,1387312.6488389524,1226047.6544246404,1140871.4971857946,1446855.9143720646
2024-07-05,1237588.0562851022,1388224.6786677167,1441230.9129980751,1553367.4705678641,1434515.0031338504,1088937.2059140739,1415232.1833731467,1319418.9993026021,1421794.0083743497,1235621.1252334702,1387353.2542776973,1226218.7844246782,1138233.4554742377,1447378.9826690934
2024-07-08,1259893.656106268,1416551.3545792734,1474483.2099934062,1597569.4966936572,1464855.9128451343,1088257.0879769335,1448501.7456422714,1337429.8021304817,1466642.0686077718,1241572.3195169254,1415625.9551519852,1245354.1607038158,1152928.1331096222,1479460.7168535832
2024-07-09,1265694.0641077363,1421056.5846964137,1480298.711868792,1608454.6556950307,1471821.0760952905,1079292.826495124,1454501.4019773903,1338658.0973348466,1465159.3983625474,1240904.600088401,1420092.644753899,1253809.3735760464,1158015.0107562963,1481700.7082744974
2024-07-10,1266078.038764904,1425249.5542747634,1484263.502094405,1613584.8247617043,1475874.7640105837,1072850.6534885995,1459221.1811716598,1344651.23275308,1470348.5179971147,1242081.378197891,1424246.3994586093,1258050.460582504,1159068.3390878383,1487325.0837015982
2024-07-11,1278987.7541818675,1452183.3904368917,1512708.2952724337,1652236.5147872965,1507260.456025705,1069246.1037938455,1489813.9300376233,1366100.4526248137,1502965.2273785896,1254976.8563986956,1451094.3337755406,1264226.117758495,1163127.2889806044,1521559.70739398
2024-07-12,1264259.462306543,1420351.470529968,1476009.5372897768,1600776.4045950393,1470067.6744185402,1064037.3595364217,1450334.2459453237,1339601.854257545,1455522.7204397428,1239457.0688187757,1419371.1153309834,1248972.7954352414,1151727.4433417155,1485605.8658987945
2024-07-15,1261310.4580069263,1417606.8284977137,1473651.4068167845,1597493.6959370067,1468017.3892811479,1057863.3568763305,1447757.282077824,1337497.518084481,1458117.1671451675,1238128.510376453,1416642.6577497954,1245057.463496171,1145657.996614041,1483359.0775946414
2024-07-16,1265609.3015308108,1426089.240435923,1487859.8862739953,1609215.0987684848,1480662.3017802406,1062886.754046934,1457658.948324343,1344100.644067333,1459229.1698290857,1238256.7225174976,1425088.443296374,1245198.562049214,1144437.978653758,1496284.7104605213
2024-07-17,1257164.2779765718,1410627.6195814393,1464804.8595566307,1584400.954430355,1462237.9514145716,1051550.6907162673,1437613.7427077147,1331362.1682232765,1438843.698187699,1229522.6799807297,1409708.718970989,1237514.1234346866,1139495.0557567358,1476520.9526876842
2024-07-18,1243068.7042833327,1391317.3092214905,1442172.3680736623,1549493.3197244965,1438459.8533951666,1049726.8031187113,1412549.5931372368,1310562.6495644683,1412898.5524622982,1226902.2586972462,1390463.589483777,1226924.0311164698,1133834.3344715987,1454269.6723174152
2024-07-19,1220799.2666305313,1360584.4191709259,1405201.4302150803,1508836.633849783,1401496.1244231558,1038648.5678965452,1378923.2372117962,1280921.2214032738,1380652.3975302705,1209639.029671624,1359781.8783604903,1213586.343604696,1121437.510598412,1419332.545008899
2024-07-22,1194901.4863152187,1325740.088424621,1370839.3712743632,1460712.6385965305,1365489.9645486306,1026424.6650235899,1340000.7251601769,1246627.6306253332,1339510.7866861913,1187997.7637475058,1324986.629519506,1182602.88840963,1097837.520333751,1381583.8404564334
2024-07-23,1220954.7770077842,1364087.6650900692,1413081.5228833593,1515189.3908312703,1408105.1986930727,1039992.4550175123,1383124.1657629781,1281065.7331564769,1381023.0650915764,1214822.4270285913,1363254.687700928,1209954.100712211,1119752.9263006004,1424471.536643196
2024-07-26,1184277.3990364203,1315915.1305431202,1356079.9206172458,1446334.1791567206,1353486.2014049597,1014596.2164786711,1328505.0815774268,1238910.5279711194,1326908.881384797,1192185.6925492592,1315204.1303040066,1191523.3150692724,1100363.8661056089,1369541.8028970852
2024-07-29,1188618.2711211778,1326499.658478293,1371762.7686021524,1465350.971883599,1366686.883033267,1002648.7704168154,1341953.4618513854,1241446.6490721875,1338769.564675438,1194590.293187482,1325728.5958839038,1192730.1748904793,1096950.9560244484,1385331.4919736616
2024-07-30,1185935.738742372,1324743.2659950012,1366641.0872277967,1463226.8104569288,1364290.2343172445,1009281.3957250552,1340255.1532377931,1244755.7603686636,1338769.564675438,1192745.826120903,1324000.329638584,1192802.7960726449,1097118.7648700082,1381873.485633495
2024-07-31,1186263.7588067441,1324210.1914074258,1363520.8508670593,1457300.4624712635,1361126.4679543292,1017512.0714460452,1338847.8341422072,1243399.143978449,1340622.7893701096,1195124.8054394035,1323486.332276042,1198249.6092542135,1102381.4914898742,1381551.5316682276
2024-08-01,1203930.0048107838,1350329.7408480663,1392620.3931714199,1488607.524489352,1387903.209971353,1034181.0415999967,1366497.424502941,1268197.8421693172,1363973.3752782268,1209159.490342264,1349518.0989536634,1211890.8145019638,1118136.6924236116,1413716.9775713703
2024-08-02,1157213.5927528085,1290882.4178393441,1327712.0580554435,1404554.3284295246,1324890.276611275,1006998.476251771,1300691.8986422436,1211962.6413597888,1295033.3940140752,1176192.8358955004,1290124.515177754,1172355.9278940973,1078066.8255681167,1348783.355339588
2024-08-05,1069218.6426667813,1187477.511546465,1216946.5984507184,1275120.3450157535,1216299.863492232,957422.993245868,1191593.8520035285,1110739.7612438295,1176797.681116405,1106280.976403251,1186837.1076895948,1093971.29515812,1006072.0748807536,1237838.8169497252
2024-08-06,1110979.4803100924,1242572.9604063567,1285738.6763161945,1352226.159469971,1282399.0167770204,965294.0197946844,1251154.6313052212,1148274.6379685213,1241660.5454299077,1141002.4967863725,1241771.435441236,1129701.6231283585,1036479.1839276956,1300643.3669059705
2024-08-07,1145359.8111611593,1284008.7044646717,1333196.2456005013,1404718.2289564598,1329483.9486387116,994168.1990101838,1295109.8329690972,1192761.6130399706,1290956.277063426,1163308.139669712,1283075.8965854328,1160125.5984225872,1062012.6755752305,1345772.0884751622
2024-08-08,1121723.1353809452,1259188.5227618336,1303876.9245987455,1369205.8005500014,1301159.5035575614,982039.4419665264,1268299.652778378,1168947.038794459,1264269.9093272719,1150072.2418421907,1258279.7082216968,1144594.343096787,1048892.1243775866,1319103.441507077
2024-08-09,1151710.8643316717,1297108.2147755097,1346298.817618326,1418911.4850525584,1343129.241837978,993525.5461353484,1309232.3655796556,1202491.8158322964,1303558.2954766792,1173096.6463415325,1296100.865079383,1169519.2164035242,1068946.7316462512,1361808.6162119024
2024-08-12,1172564.03218141,1314140.4364480996,1360810.2122908847,1439533.7335902653,1358401.537305497,1011881.8825238715,1326276.920771336,1219533.591324919,1319866.6501674168,1188472.197763889,1313152.647677808,1193463.540030335,1090868.8905056017,1376355.7725961185
2024-08-13,1164342.7718149107,1313497.9388991634,1358711.2491696228,1440804.1565155901,1356418.0369303157,1012014.7442355078,1327116.1221258915,1220839.2293071148,1323202.4319954538,1185156.935859696,1312489.102916453,1191300.5902636903,1085963.1782816702,1376754.9831981706
2024-08-14,1181218.1228364815,1330044.291045116,1371805.4600408992,1459299.4252092394,1372313.780462002,1021117.9978320791,1343011.452998366,1233759.7396381737,1339881.4542474973,1200882.770617883,1329033.537526619,1208177.4026068477,1105087.046080439,1392490.605674899
2024-08-15,1168557.7095698076,1317468.8077908533,1360191.186290756,1446473.1782024386,1360283.1425520636,1012275.4968145215,1330963.0588664068,1226361.8537105662,1329503.4412020806,1191226.0823506175,1316442.555030665,1195991.3502165326,1091158.4016070133,1381035.4958062535
2024-08-16,1192766.3911536962,1346363.8915696584,1393339.3677474402,1483645.388734185,1393534.885584489,1028227.3498899674,1362060.2034684296,1251799.6417289993,1359525.5907662718,1211073.8586400093,1345299.848658707,1223331.3987118525,1113448.8342758163,1410132.922772619
2024-08-19,1191707.9923119058,1348767.7202046488,1395586.683657863,1489936.9092903866,1395846.466039052,1026312.0695279853,1365282.7211392084,1255177.125353827,1361378.8154609432,1214070.6030835542,1347719.6831426537,1219920.1552437278,1117224.831237167,1411647.9638046252
2024-08-20,1194365.993430444,1348651.403165805,1395954.8314398602,1489801.2288207693,1395409.9897045603,1028340.5885572116,1365385.592152551,1256267.5819442356,1362120.1505835555,1214451.353230314,1347576.1447829383,1219770.8410613916,1116633.9313473194,1409755.7825363548
2024-08-21,1187654.6305385535,1335801.5093364625,1379984.5978545211,1470501.1525005617,1380362.6502393903,1028426.9208908174,1350478.8115219867,1245557.849827018,1347665.0205874895,1206675.2886572874,1334743.2334843937,1215023.3930554995,1111049.7303965904,1396109.1130434102
2024-08-22,1183496.8707143185,1329980.5312541462,1372364.6876951274,1461568.993286732,1374056.6720678234,1022946.742876878,1343203.1115882907,1240569.5141462348,1340622.7893701096,1206533.0764956449,1328949.955074476,1214531.265407941,1111858.2442345002,1388707.6765769054
2024-08-23,1180777.6745640896,1328579.8140530922,1369888.032424485,1458580.8878625329,1372704.4075934975,1025943.9888286112,1342016.6000314725,1241085.9713656688,1341364.0113808627,1206061.7797166614,1327539.501505733,1214622.6108023382,1110184.6062379908,1387036.428016162
2024-08-26,1189145.0780690338,1334286.6442310137,1374990.5785215907,1461710.094906752,1376803.1270883793,1031056.5607315896,1347020.2999364126,1245682.6703496561,1343587.9036368404,1208467.9541353988,1333232.4554129865,1221674.7765217654,1116045.8029799466,1393354.2269748065
2024-08-27,1182849.1474640388,1327721.6159440894,1366453.480505506,1452444.1937070251,1368612.2040277477,1035225.9402534445,1339601.3952508976,1242595.4135842142,1337657.5619915198,1206216.3924454,1326688.287671242,1218954.454875418,1114224.2284197686,1385770.2188105406
2024-08-28,1186042.1623521657,1340746.6549600917,1383024.0423479993,1475812.5639502592,1385263.7886058134,1030679.1373872228,1356229.2124182365,1252994.352445678,1356560.476499541,1207317.9673399385,1339665.3706876154,1219083.5249747862,1111151.8348087713,1404658.2128168272
2024-08-29,1179676.4562126861,1328023.8190358223,1365055.901757745,1457693.8357504327,1370295.3024064652,1024775.8623661345,1341012.5565875345,1243539.1705069125,1338028.229552826,1203012.2820470452,1326991.8454010952,1218759.3276871962,1112083.8442224944,1384333.556451266
2024-08-30,1179739.3318813262,1329176.2873639865,1366642.4630351588,1458098.4867685966,1371779.7736381108,1026355.8806384685,1342154.3061864094,1247249.3265325658,1344329.2387594525,1204756.7318592046,1328129.7283784356,1220729.4034503642,1110738.1405182688,1386462.1286957073
2024-09-02,1175136.817757571,1329366.7528493726,1367079.334532506,1458417.442756243,1372565.3436962874,1025915.3253453716,1343629.0862081687,1245401.5233354757,1340622.7893701096,1203873.470731093,1328262.3551053952,1218780.1061647504,1107746.1542567764,1388189.9386977411
2024-09-03,1167789.3226485234,1320360.9460118467,1357415.536110194,1448715.0860559284,1361989.2007326006,1025822.2928158204,1334989.542208984,1237398.2414637147,1334692.4477247887,1198386.852835641,1319275.3293065613,1213158.26374333,1100126.4525560294,1378382.8362223208
2024-09-04,1110486.4703078233,1259189.0427034723,1288852.7768819095,1372697.1499588036,1295136.986863251,989863.8637901883,1272219.765387987,1181417.8232985546,1269458.9158499802,1158280.967167577,1258161.744607156,1166591.326493485,1052907.593131113,1313761.7046413517
2024-09-05,1108906.173206682,1264763.8086627903,1297742.0536792832,1379881.9875434947,1303978.1597189477,991187.1003841821,1279770.7208090094,1186736.6434656566,1277242.4821899722,1162166.706894121,1263662.85039655,1168344.3999597323,1048478.3034237252,1322617.5883400354
2024-09-06,1128659.9271962624,1282687.933130543,1320158.5534844212,1402540.9663321923,1323859.2881864724,1008675.9249119767,1298593.3582413222,1200598.0664305543,1295404.0615753813,1179220.8005375753,1281590.6803708246,1185979.2792750075,1064947.0757971664,1343238.994494612
2024-09-09,1105676.8350812765,1260222.5689156132,1294391.9713424009,1372031.254475327,1299684.80140823,1002559.1538680745,1275235.4843651399,1184312.9811702608,1275389.2574953008,1164118.9952393542,1259128.3278219006,1166670.226454941,1049011.656614743,1319865.4213059726
2024-09-10,1099054.2861032085,1259409.9438409288,1295007.9977056393,1375117.7874395829,1300691.3076131057,988882.8878830662,1276160.2038827892,1179812.0034459655,1277613.1497512783,1167295.9238235678,1258309.383104809,1166879.082133654,1043857.8905627544,1320422.722227176
2024-09-11,1100100.0292799894,1256719.468002114,1291400.6818474429,1371328.6402069875,1297154.6281564448,990206.8993737572,1272646.622582706,1177959.1680455087,1273906.7003619354,1163738.8053472403,1255621.058159811,1161949.5085386827,1042918.0843553392,1317321.490558541
2024-09-12,1130862.762736434,1299138.3244612343,1339230.4801860373,1429059.9693761002,1343005.7987443055,1014280.664667046,1318567.4157930913,1212811.770980049,1321719.8748620884,1190027.4599418778,1297999.5558158674,1188084.263803035,1068693.150467876,1368256.712444153
2024-09-13,1138192.0226920529,1305634.1820156563,1347232.196178569,1434630.0740665307,1350771.9304819836,1019307.7625768248,1324129.062834453,1218771.3219105965,1322461.0968728417,1191552.463396533,1304483.4458787206,1186455.2581968294,1070331.9691621035,1376877.356693673
2024-09-16,1140561.220254116,1310391.4563156478,1350899.6551574331,1440163.7007685753,1353546.4237363571,1022634.8832286298,1328308.2346727327,1223836.3439948582,1325055.6566901254,1192758.912320899,1309234.82020052,1189665.7355884835,1074534.4974573597,1382050.5638287785
2024-09-18,1133345.658379711,1300252.5046404826,1342277.0989388318,1426481.182666326,1345831.2595847626,1013481.022443994,1317468.0543358887,1214245.0737737422,1318384.0930340514,1182305.2866268756,1299087.172590477,1182948.8176799566,1064682.2660657482,1371597.4885364496
2024-09-19,1150213.5172848809,1320369.741934044,1363150.086946357,1451257.4402665547,1367626.3236747023,1031602.6761890524,1339177.9833066254,1234624.5128471605,1335433.6697355423,1195636.801155169,1319158.9964052609,1195542.9551659366,1076570.8315218464,1395730.971478689
2024-09-20,1153250.1754932215,1330427.323517195,1375769.4154425664,1464269.7243308006,1379621.5086139063,1039508.4152401264,1350651.866036461,1241162.6577691478,1352483.359548892,1202299.0672303222,1329186.355449542,1197329.9040067384,1078292.4302791671,1408170.3272267494
2024-09-23,1163156.9969801465,1340524.7129489398,1384500.9880429304,1475559.7768588448,1390034.9888028493,1043956.110440097,1360750.710326855,1248226.1209643232,1358413.7011942123,1213829.6936592318,1339264.8549280134,1208630.9257158,1087805.3352535302,1415166.120494373
2024-09-24,1172747.7354288474,1351493.4867625227,1396608.9878950962,1491858.9974091046,1401191.3090003743,1051249.0674503983,1373382.2655557902,1256417.6728794323,1371386.2740569129,1220772.2135280848,1350231.1947994502,1223146.4565158992,1098542.020305065,1426317.9468491203
2024-09-25,1197052.4627732402,1372706.43238815,1422563.133525967,1521837.3717967293,1424138.3766000438,1065229.1663442706,1395381.1684191858,1274891.1102298677,1391771.7456982995,1230450.6302068897,1371437.017960359,1240892.4555409004,1113987.0937668118,1446911.491265644
2024-09-26,1204368.6297632714,1381092.3603872561,1434471.6878774564,1537257.076825464,1435668.2194051463,1057626.6466502564,1405475.1596646586,1280335.9542725866,1403261.7614276346,1236749.0700294038,1379814.4358301433,1248906.4970476185,1119559.4213329202,1455134.1286228674
2024-09-27,1215278.6083998575,1378251.0128346842,1428048.0451633506,1529401.7770560638,1427300.2191875451,1070519.1107122912,1397111.367548803,1278318.3689097348,1400296.5340490448,1233886.3995113254,1377045.2302573842,1248534.514482223,1128420.2806321024,1449591.2719397915
2024-09-30,1182612.1175690948,1337186.428436084,1379913.1275175628,1471944.9985484586,1380143.2889781774,1051418.3418979333,1351618.1396868932,1244810.0206484431,1363602.7077169209,1207699.5284899909,1336055.096120836,1217590.4254108982,1102660.9495983906,1403713.485831035
2024-10-01,1191873.9919259993,1349459.2679620928,1394455.122575401,1489272.6344082511,1395267.5166564293,1050251.0732427256,1365715.3236851282,1254099.4680632853,1361008.261011496,1214005.2491471055,1348313.3274354695,1228549.6687152693,1109783.5936557874,1416990.38901596
2024-10-04,1192834.5157529253,1348080.92087993,1397310.6854186682,1495493.9122673825,1393996.0475035026,1032242.3813451871,1365816.8042389262,1249188.475160333,1361008.261011496,1208292.7706677185,1347014.7170021082,1215459.1736973892,1098953.7600005935,1417023.5729907926
2024-10-07,1211498.575084273,1371041.5109764016,1425045.8990440767,1528606.669524395,1420352.584412935,1038492.1857147599,1392604.272889079,1271584.2962436243,1394736.8599650303,1217389.1268066792,1369883.3841931066,1228449.795292474,1108475.285143352,1444553.349131404
2024-10-08,1198740.850398522,1366496.0589164714,1422153.9382211356,1525852.063794717,1417140.2969127805,1035811.3031622268,1390163.4207951166,1266477.81317945,1388065.2963089563,1211891.398192828,1365293.0405955722,1221508.730502563,1099216.9010445797,1444114.9645564817
2024-10-09,1200860.3677661058,1371961.5314403803,1429638.6398807133,1538091.3915487246,1423803.2411271757,1039958.9841765304,1398817.215833694,1269148.9286056147,1401037.869171657,1214388.2843000998,1370737.2769497891,1222303.7723815786,1097720.6287650813,1452556.9274381532
2024-10-11,1213990.1631144122,1389679.2907164323,1454116.2602697057,1567644.6738843378,1447647.6184339707,1035832.5394510869,1420646.1223259915,1282734.8931340508,1424388.4550797744,1220734.4091770914,1388431.4956517697,1235259.8716810576,1105235.359568272,1472991.086323239
2024-10-14,1213916.040818793,1393064.9555009298,1456043.52922595,1568690.154345724,1450267.1410215395,1052300.481967106,1423256.5507000817,1286859.9871460022,1425500.4577636926,1228593.8088727775,1391766.9106171436,1237444.6802044765,1109285.4079708424,1475251.644473915
2024-10-15,1227009.1977924586,1415942.7166373064,1479216.5024376186,1603633.464712854,1474646.7335306704,1053428.7551282784,1450921.81655219,1304601.3483023152,1455893.27488919,1240036.1640793618,1414544.0783625534,1253775.9502048746,1119758.431205477,1501079.574108268
2024-10-16,1211487.5287397963,1393562.4641258845,1452817.2398636963,1572540.7066891245,1449203.971211089,1047444.3501994379,1425983.6603525265,1288859.084631268,1430689.464286401,1227206.581731938,1392203.1842915637,1240087.7148356787,1108292.9305209336,1474408.000319172
2024-10-17,1220565.510858452,1395862.7641538244,1450151.5067245895,1569412.60448533,1447981.4339936727,1054420.9885995428,1425461.5241305782,1291259.6644286125,1432913.3565423787,1232094.0339893566,1394555.1723702557,1250878.541058981,1116613.8401145877,1473022.8148927614
2024-10-18,1240995.062726707,1429222.7002088288,1495770.5340974124,1621854.0003060338,1488954.4741105123,1063208.5255348638,1465732.0266457298,1315536.326218053,1468495.2933024433,1250232.364895947,1427810.118310936,1268002.280759531,1129601.8128465775,1516698.4491509586
2024-10-21,1237260.728419318,1427059.6411681753,1493628.8892484591,1622039.8958119764,1486069.9092261067,1067728.0272984798,1464582.4895217556,1318631.459475721,1468124.6257411372,1248257.7204430543,1425676.8157006004,1262911.41670254,1127559.8515361324,1513643.2645007332
2024-10-22,1239314.2484398568,1426517.3989664025,1486912.2875262226,1616949.346374612,1483433.2504753706,1073938.5237486039,1463218.3976177692,1318233.80601403,1462564.9516571227,1248276.363982083,1425124.7502749416,1270192.3749974568,1129374.2129939562,1510914.9645836365
